Questions,Answers
What is causing a psychology of fear among the Moslems in relation to the development of the Hindu and Moslem middle classes?,"Leadership on their masses. There has been a difference of a generation or more in the development of the Hindu and Moslem middle classes, and that difference continues to show itself in many directions, political, economic, and other. It is this lag which produces a psychology of fear among the Moslems."
"Why did Iqbal initially advocate for the proposal to divide India into Pakistan, and what was his later perspective on the matter?","Pakistan, the proposal to divide India, however much it may appeal emotionally to some, is of course no solution for this backwardness, and it is much more likely to strengthen the hold of feudal elements for some time longer and delay the economic progress of the Muslims. Iqbal was one of the early advocates of Pakistan and yet he appears to have realized its inherent danger and absurdity. Edward Thompson has written that, in the course of a conversation, Iqbal told him that he had advocated Pakistan because of his position as president of the Muslim League session, but he felt sure that it would be injurious to India as a whole and to Muslims especially. Probably he had changed his mind, or he had not given much thought to the question previously, as it had assumed no importance then. His whole outlook on life does not fit in with the subsequent developments of the idea of Pakistan or division of India."
"What was the nature of the relationship between Iqbal and the speaker, and how did their conversations reflect their mutual respect and differences?","During his last years, Iqbal turned more and more towards socialism. The great progress that Soviet Russia had made attracted him. Even his poetry took a different turn. A few months before his death, as he lay on his sick bed, he sent for me and I gladly obeyed the summons. As I talked to him about many things, I felt how much we had in common, in spite of differences, and how easy it would be to get on with him. He was in a reminiscent mood and wandered from one subject to another, and I listened to him, talking little myself. I admired him and his poetry, and it pleased me greatly to feel that he liked me and had a good opinion of me. A little before I left him, he said to me: 'What is there in common between Jinnah and you? He is a politician, you are a patriot.' I hope there is still much in common between Mr. Jinnah and me. As for my being a patriot, I do not know that this is a particular qualification in these days, at least in the limited sense of the word. Greatly attached as I am to India, I have long felt that something more than national attachment is necessary for us in order to understand and solve even our own problems, and much more so those of the world as a whole. But Iqbal was certainly right in holding that I was not much of a politician, although politics had seized me and made me their victim."
What were some of the challenges faced during the period of significant changes in India's industrial development and governmental policies?,"Problems and understand what lay behind the new demand for Pakistan and separation, I have jumped over half a century. During this period many changes came, not so much in the external apparatus of government as in the temper of the people. Some trivial constitutional developments took place and these are often paraded, but they made no difference whatsoever to the authoritarian and all-pervasive character of British rule; nor did they touch the problems of poverty and unemployment. In 1911 Jamshedji Tata laid the foundations of heavy industry in India by starting steel and iron works in what came to be known as Jamshedpur. Government looked with disfavour on this and other attempts to start industries and in no way encouraged them. It was chiefly with American expert help that the steel industry was started. It had a precarious childhood but the war of 1914-18 came to its help. Again it languished and was in danger of passing into the hands of British debenture holders, but nationalist pressure saved it."
What were the challenges faced by the industrial proletariat in India during the 1920s?,"An industrial proletariat was growing up in India; it was unorganized and helpless, and the terribly low standards of the peasantry, from which it came, prevented wage increases and improvement. So far as unskilled labor was concerned, there were millions of unemployed persons who could be drawn upon, and no strike could succeed in these conditions. The first trade union congress was organized around 1920. The numbers of this new proletariat were not sufficient to make any difference to the Indian political scene; they were a bucketful in a sea of peasants and workers on the land. In the 'twenties, the voice of industrial labor began to be heard, but it was feeble. It might have been ignored but for the fact that the Russian Revolution had forced people to attach importance to the industrial proletariat."
"Who was brought out of retirement to prevent conflict in the Congress, and what was the outcome of the clash in 1907?","High and conflict was inevitable. To avoid this, the old patriarch of the Congress, Dadabhai Naoroji, universally respected and regarded as the father of the country, was brought out of his retirement. The respite was brief, and in 1907 the clash came, resulting apparently in a victory for the old moderate section."
What were some of the consequences of the Congress losing its importance and interest shifting to other activities in India during this time period?,But this had been won because of organizational control and the then narrow franchise of the Congress. There was no doubt that the vast majority of politically minded people in India favoured Tilak and his group. The Congress lost much of its importance and interest shifted to other activities. Terroristic activity appeared in Bengal. The example set by Russian and Irish revolutionaries was being followed.
What were the motivations behind the creation of the Muslim League and the establishment of separate electorates for Muslims in India?,"Muslim young men were also being affected by these revolutionary ideas. The Aligarh College had tried to check this tendency and now, under government inspiration, the Aga Khan and others started the Muslim League to provide a political platform for Muslims and thus keep them away from the Congress. More important still, and of vital significance to India's future development, it was decided to introduce separate electorates for Muslims. Henceforth, Muslims could only stand for election and be elected by separate Muslim electorates. A political barrier was created around them isolating them from the rest of India and reversing the unifying and amalgamating process which had been going on for centuries, and which was inevitably being speeded up by technological developments. This barrier was a small one at first, for the electorates were very limited, but with every extension of the franchise, it grew and affected the whole structure of public and social life, like some canker which corrupted the entire system. It poisoned municipal and local self-government and ultimately it led to fantastic divisions. There came into existence (much later) separate Muslim trade unions and students' organizations and merchants' chambers. Because the Muslims were backward in all these activities, these organizations were not real organic growths from below, but were artificially created from above, and their leadership was held by the old semi-feudal type of person. Thus, to some extent, the Muslim middle classes and even the masses were isolated from the currents of growth which were influencing the rest of India."
"What was the impact of not promoting self-reliance and neglecting educational and economic support for minority groups in society?""","Ency to depend on artificial props and not to think in terms of self-reliance. The obvious policy in dealing with groups or minorities which were backward educationally and economically was to help them in every way to grow and make up these deficiencies, especially by a forward educational policy. Nothing of this kind was done either for the Muslims or for other backward minorities, or for the depressed classes who needed it most. The whole argument centered on petty appointments in the subordinate public services, and instead of raising standards all around, merit was often sacrificed."
What were the negative impacts of separate electorates in India during that time?,"Separate electorates thus weakened the groups that were already weak or backward, they encouraged separatist tendencies and prevented the growth of national unity, they were the negation of democracy, they created new vested interests of the most reactionary kind, they lowered standards, and they diverted attention from the real economic problems of the country which were common to all. These electorates, first introduced among the Muslims, spread to other minorities and groups till India became a mosaic of these separate compartments. Possibly they may have done some good for a little while, though I am unable to spot it, but undoubtedly the injury they have caused to every department of Indian life has been prodigious. Out of them have grown all manner of separatist tendencies and finally the demand for a splitting up of India."
What factors contributed to the split in the Congress between the extremists and moderates and the growing alignment of the Muslim League with the Congress during wartime?,"Cause of the split in the Congress between the two sections, the so-called extremists and the moderates, and because of wartime restrictions and regulations. Yet one tendency was marked: the rising middle class among the Muslims was growing more nationally minded and was pushing the Muslim League towards the Congress. They even joined hands."
What were some of the social consequences of the rapid industrial development during the war in India?,"Industry developed during the war and produced enormous dividends—100 to 200 per cent—from the jute mills of Bengal and the cotton mills of Bombay, Ahmedabad, and elsewhere. Some of these dividends flowed to the owners of foreign capital in Dundee and London, some went to swell the riches of Indian millionaires; and yet the workers who had created these dividends lived at an incredibly low level of existence—in 'filthy, disease-ridden hovels,' with no window or chimney, no light or water supply, no sanitary arrangements. This near the so-called city of palaces Calcutta, dominated by British capital! In Bombay, where Indian capital was more in evidence, an inquiry commission found in one room, fifteen feet by twelve, six families, in all, thirty adults and children, living together. Three of these women were expecting a confinement soon, and each family had a separate oven in that one room. These are special cases, but they are not very exceptional."
What was your experience like when you visited a coal mine in Jharia and witnessed the working conditions of the women there?,"Full of horror and anger. I remember also going down a coal mine in Jharia and seeing the conditions in which our womenfolk worked there. I can never forget that picture or the shock that came to me that human beings should labor thus. Women were subsequently prohibited from working underground, but now they have been sent back there because, we are told, war needs require additional labor; and yet millions of men are starving and unemployed. There is no lack of men, but the wages are so low and the conditions of work so bad that they do not attract."
What were some of the key findings and observations made by the British Trade Union Congress delegation during their visit to India in 1928?,"A delegation sent by the British Trade Union Congress visited India in 1928. In their report, they said that 'In Assam tea the sweat, hunger, and despair of a million Indians enter year by year.' The Director of Public Health in Bengal, in his report for 1927-28, said that the peasantry of that province were 'taking to a dietary on which even rats could not live for more than five weeks.' World War I ended at last, and the peace, instead of bringing us relief and progress, brought us repressive legislation and martial law in the Punjab. A bitter sense of humiliation and passionate anger filled our people. All the unending talk of constitutional reform and Indianization of the services was a mockery and an insult when the manhood of our country was being crushed, and the inexorable and continuous process of exploitation was deepening our poverty and sapping our vitality. We had become a derelict nation."
"What did some individuals try to do in order to find relief from present misery, but ultimately discovered was fruitless according to Tagore?","But they lacked its inner content, the modern social and scientific consciousness. Some tried to cling tenaciously to the dead forms of the past, seeking relief from present misery in them. But there could be no relief there, for, as Tagore has said, we must not nourish in our being what is dead, for the dead is death-dealing."
"How did the people of India become trapped in poverty and defeatism, and what measures were considered to lift the country out of this dire situation?","Others made themselves pale and ineffectual copies of the West. So, like derelicts, frantically seeking some foothold of security for body and mind and finding none, they floated aimlessly in the murky waters of Indian life. What could we do? How could we pull India out of this quagmire of poverty and defeatism which sucked her in? Not for a few years of excitement and agony and suspense, but for long generations our people had offered their 'blood and toil, tears and sweat.' And this process had eaten its way deep into the body and soul of India, poisoning every aspect of our corporate life, like that fell disease which consumes the tissues of the lungs and kills slowly but inevitably. Sometimes we thought that some swifter and more obvious process, resembling cholera or the bubonic plague, would have been better; but that was a passing thought, for adventurism leads nowhere, and the quack treatment of deep-seated diseases does not yield results."
Who was Gandhi and how did he impact society during his time?,"And then Gandhi came. he was like a powerful current of fresh air that made us stretch ourselves and take deep breaths; like a beam of light that pierced the darkness and removed the scales from our eyes; like a whirlwind that upset many things, but most of all the working of people's minds. He did not descend from the top; he seemed to emerge from the millions of India, speaking their language and incessantly drawing attention to them and their appalling condition. Get off the backs of these peasants and workers, he told us, all you who live by their exploitation; get rid of the system that produces this poverty and misery. Political freedom took new shape then and acquired a new content. Much that he said we only partially accepted or sometimes did not accept at all. But all this was secondary. The essence of his teaching was fearlessness and truth, and action allied to these, always keeping the welfare of the masses in view. The greatest gift for an individual or a nation, so we had been told in our ancient books, was abhaya (fearlessness), not merely bodily courage but the absence of fear from the mind."
What led to a significant decrease in fear and an increase in truthfulness among the Indian people?,"Raised: be not afraid. Was it so simple as all that? Not quite. And yet fear builds its phantoms which are more fearsome than reality itself, and reality, when calmly analyzed and its consequences willingly accepted, loses much of its terror. So, suddenly, as it were, that black pall of fear was lifted from the people's shoulders, not wholly of course, but to an amazing degree. As fear is close companion to falsehood, so truth follows fearlessness. The Indian people did not become much more truthful than they were, nor did they change their essential nature overnight; nevertheless a sea-change was visible as the need for falsehood and furtive behavior lessened. It was a psychological change, almost as if some expert in psycho-analytical methods had probed deep into the patient's past, found out the origins of his complexes, exposed them to his view, and thus rid him of that burden."
What was the impact of Gandhi's influence on the struggle for independence in India?,"There was that psychological reaction also, a feeling of shame at our long submission to an alien rule that had degraded and humiliated us, and a desire to submit no longer whatever the consequences might be. We did not grow much more truthful perhaps than we had been previously, but Gandhi was always there as a symbol of uncompromising truth to pull us up and shame us into truth."
"Who exemplifies unwavering commitment to truth, according to a specific definition, and why is it rare to find individuals like them?","What is truth? I do not know for certain, and perhaps our truths are relative and absolute truth is beyond us. Different persons may and do take different views of truth, and each individual is powerfully influenced by his own background, training, and impulses. So also Gandhi. But truth is at least for an individual what he himself feels and knows to be true. According to this definition I do not know of any person who holds to the truth as Gandhi does."
What impact did Gandhi have on the people of India and how did they respond to his influence?,"That is a dangerous quality in a politician, for he speaks out his mind and even lets the public see its changing phases. Gandhi influenced millions of people in India in varying degrees. Some changed the whole texture of their lives, others were only partly affected, or the effect wore off; and yet not quite, for some part of it could not be wholly shaken off. Different people reacted differently and each will give his own answer to this question."
Who is the only person in the world who can make you feel a sense of shame?,"Oh, and not only me, but lots of other men. 'And there is one thing I've never felt with anybody else—not the kind of thing you would expect to find in me, either—and that is a sense of shame. Socrates is the only man in the world that can make me feel ashamed. Because there's no getting away from it, I know I ought to do the things he tells me to; and yet the moment I'm out of his sight I don't care what I do to keep in with the mob. So I dash off like a runaway slave, and keep out of his way as long as I can: and the next time I meet him I remember all that I had to admit the time before, and naturally I feel ashamed."
Who is the orator who has deeply impacted your soul unlike any others before?,"'Yes, I have heard pericles and all the other great orators, and very eloquent ithought they were; but they never affected me like that; they never turned my whole soul upside down and left me feeling as if i were the lowest of the low; but this latter day maryas, here, has often left me in such a state of mind that i've felt I simply couldn't go on living the way I did...'"
What significant role did Gandhi play in transforming the congress organization?,"'Only I've been bitten by something much more poisonous than a snake; in fact, mine is the most painful kind of bite there is. I've been bitten in the heart, or the mind or whatever you like to call it. The congress became a dynamic organization under Gandhi's leadership. Gandhi, for the first time, entered the congress organization and immediately brought about a complete change in its constitution.'"
What changes were made to the organization to make it more inclusive and accessible to a broader range of individuals?,"He made it a democratic and mass organization. Democratic it had been previously also but it had so far been limited in franchise and restricted to the upper classes. Now the peasants rolled in and, in its new garb, it began to assume the look of a vast agrarian organization with a strong sprinkling of the middle classes. This agrarian character was to grow. Industrial workers also came in but as individuals and not in their separate organized capacity."
What was Gandhi's approach to activism and peaceful resistance?,"Action was to be the basis and objective of this organization, action based on peaceful methods. Thus far the alternatives had been just talking and passing resolutions, or terroristic activity. Both of these were set aside and terrorism was especially condemned as opposed to the basic policy of the congress. A new technique of action was evolved which, though perfectly peaceful, yet implied non-submission to what was considered wrong and, as a consequence, a willing acceptance of the pain and suffering involved in this. Gandhi was an odd kind of pacifist, for he was an activist full of dynamic energy. There was no submission in him to fate or anything that he considered evil; he was full of resistance, though this was peaceful and courteous."
What were the two main aspects of the call of action during the struggle for independence in India?,"The call of action was two-fold. There was, of course, the action involved in challenging and resisting foreign rule; there was also the action which led us to fight our own social evils. Apart from the fundamental objective of the Congress — the freedom of India — and the method of peaceful action, the principal planks of the Congress were national unity, which involved the solution of the minority problems, and the raising of the depressed classes and the ending of the curse of untouchability."
How did Gandhi challenge the main props of British rule in India?,"Realizing that the main props of British rule were fear, prestige, the co-operation, willing or unwilling, of the people, and certain classes whose vested interests were centered in British rule, Gandhi attacked these foundations. Titles were to be given up and though the title-holders responded to this only in small measure, the popular respect for these British-given titles disappeared and they became symbols of degradation. New standards and values were set up and the pomp and splendor of the viceregal court and the princes, which used to impress so much, suddenly appeared supremely ridiculous and vulgar and rather shameful, surrounded as they were by the poverty and misery of the people. Rich men were not so anxious to flaunt their riches; outwardly at least many of them adopted simpler ways, and in their dress, became almost indistinguishable from humbler folk."
What were the reasons behind Mr. M. A. Jinnah's decision to leave the Congress?,"The older leaders of the Congress, bred in a different and more quiescent tradition, did not take easily to these new ways and were disturbed by the upsurge of the masses. Yet so powerful was the wave of feeling and sentiment that swept through the country, that some of this intoxication filled them also. A very few fell away and among them was Mr. M. A. Jinnah. He left the Congress not because of any difference of opinion on the Hindu-Muslim question but because he could not adapt himself to the new and more advanced ideology, and even more so because he disliked the crowds of ill-dressed people, talking in Hindustani, who filled the Congress."
What was Gandhi's approach to politics like compared to other political figures?,"His idea of politics was of a superior variety, more suited to the legislative chamber or to a committee-room. For some years he felt completely out of the picture and even decided to leave India for good. He settled down in England and spent several years there. It is said, and I think with truth, that the Indian habit of mind is essentially one of quietism. Perhaps old races develop that attitude to life; a long tradition of philosophy also leads to it. And yet, Gandhi, a typical product of India, represents the very antithesis of quietism. He has been a demon of energy and action, a hustler, and a man who not only drives himself but drives others."
What impact did his actions have on the Indian people and their perception of their circumstances?,"He has done more than anyone I know to fight and change the quietism of the Indian people. He sent us to the villages, and the countryside hummed with the activity of innumerable messengers of the new gospel of action. The peasant was shaken up and he began to emerge from his quiescent shell. The effect on us was different but equally far-reaching, for we saw, for the first time as it were, the villager in the intimacy of his mud-hut, and with the stark shadow of hunger always pursuing him. We learnt our Indian economics more from these visits than from books and learned discourses. The emotional experience we had already undergone was emphasized and confirmed and henceforth there could be no going back for us to our old life or our old standards, howsoever much our views might change subsequently."
"What were Gandhi's views on economic, social, and other matters and how did he try to implement them within the Congress?","Gandhi held strong views on economic, social, and other matters. He did not try to impose all of these on the Congress, though he continued to develop his ideas, and sometimes in the process varied them, through his writings. But some he tried to push into the Congress. He proceeded cautiously for he wanted to carry the people with him. Sometimes he went too far for the Congress and had to retrace his steps. Not many accepted his views in their entirety; Some disagreed with that fundamental outlook. But many accepted them in the modified form in which they came to the Congress as being suited to the circumstances then existing. In two respects the background of his thought had a vague but considerable influence; the fundamental test of everything was how far it benefited the masses, and the means were always important and could not be ignored even though the end in view was right, for the means governed the end and varied it."
What were the core beliefs that shaped Gandhi's conception of religion?,"Gandhi was essentially a man of religion, a Hindu to the inner-most depths of his being, and yet his conception of religion had nothing to do with any dogma or custom or ritual. It was basically concerned with his firm belief in the moral law, which he calls the law of truth or love. Truth and non-violence appear to him to be the same thing or different aspects of one and the same thing, and he uses these words almost interchangeably."
What is Gandhi's perspective on the various religions and his approach to adapting and interpreting Hinduism according to his own values and beliefs?,"Claiming to understand the spirit of Hinduism, he rejects every text or practice which does not fit in with his idealist interpretation of what it should be, calling it an interpolation or a subsequent accretion. 'I decline to be a slave,' he has said, 'to precedents or practices I cannot understand or defend on a moral basis.' And so in practice, he is singularly free to take the path of his choice, to change and adapt himself, to develop his philosophy of life and action, subject only to the overriding consideration of the moral law as he conceives this to be. Whether that philosophy is right, Gandhi told the Federation of International Fellowships in January 1928, that 'after long study and experience, I have come to these conclusions: (1) all religions are true, (2) all religions have some error in them, (3) all religions are almost as dear to me as my own Hinduism. My veneration for other faiths is the same as for my own faith."
What is the key factor that contributes to his unwavering integrity and organic completeness in life and work?,"Or wrong, may be argued, but he insists on applying the same fundamental yardstick to everything, and himself especially. In politics, as in other aspects of life, this creates difficulties for the average person, and often misunderstanding. But no difficulty makes him swerve from the straight line of his choosing, though within limits he is continually adapting himself to a changing situation. Every reform that he suggests, every advice that he gives to others, he straightway applies to himself. He is always beginning with himself and his words and actions fit into each other like a glove on the hand. And so, whatever happens, he never loses his integrity and there is always an organic completeness about his life and work. Even in his apparent failures he has seemed to grow in stature."
What vision did Mahatma Gandhi have for a united India?,"""I shall work for an India in which the poorest shall feel that it is their country, in whose making they have an effective voice, an India in which there shall be no high class and low class of people, an India in which all communities shall live in perfect harmony. There can be no room in such an India for the curse of untouchability or the curse of intoxicating drinks and drugs. Women will enjoy the same rights as men. This is the India of my dreams."" Proud of his Hindu inheritance as he was, he tried to give to Hinduism a kind of universal attire and included all religions within the fold of truth. He refused to narrow his cultural inheritance."
What is the perspective of the writer on Indian culture and the influence of diverse cultural elements on their identity?,"'Indian culture,' he wrote, 'is neither Hindu, Islamic, nor any other, wholly. It is a fusion of all.' Again he said: 'I want the culture of all lands to be blown about my house as freely as possible. But I refuse to be blown off my feet by any. I refuse to live in other peoples' houses as an interloper, a beggar, or a slave.' Influenced by modern thought currents, he never let go of his roots and clung to them tenaciously."
What kind of impact did this astonishingly vital man have on the masses of India?,"To millions, these unhappy dispossessed millions haunted him and everything seemed to revolve around them. To millions it is an eternal vigil or an eternal trance. His ambition, he said, was 'to wipe every tear from every eye.' It is not surprising that this astonishingly vital man, full of self-confidence and an unusual kind of power, standing for equality and freedom for each individual, but measuring all this in terms of the poorest, fascinated the masses of India and attracted them like a magnet. He seemed to them to link up the past with the future and to make the dismal present appear just as a stepping-stone to that future of life and hope. And not the masses only but intellectuals and others also, though their minds were often troubled and confused and the changeover for them from the habits of a lifetime was more difficult. Thus he effected a vast psychological revolution not only among those who followed his lead but also among his opponents and those many neutrals who could not make up their minds what to think and what to do."
Who was the dominant figure in the Congress and how did his leadership style influence the organization?,"Congress was dominated by Gandhi, yet it was a peculiar domination, for the Congress was an active, rebellious, many-sided organization, full of a variety of opinion, and not easily led this way or that. Often Gandhi toned down his position to meet the wishes of others, sometimes he accepted even an adverse decision. On some vital matters for him, he was adamant, and on more than one occasion there came a break between him and the Congress. But always he was the symbol of India's independence and militant nationalism, the unyielding opponent of all those who sought to enslave her, and it was as such a symbol that people gathered to him and accepted his lead, even though they disagreed with him on other matters. They did not always accept that lead when there was no active struggle going on, but when the struggle was inevitable, that symbol became all-important, and everything else was secondary."
What was the significance of the National Congress's decision in 1920 and how did it affect their relationship with British power?,"In 1920, the National Congress, and to a large extent the country, took to this new and unexplored path and came into conflict repeatedly with the British power. The conflict was inherent both in these methods and in the new situation that had arisen, yet back of all this was not political tactics and maneuvering but the desire to strengthen the Indian people, for by that strength alone could they achieve independence and retain it."
What was the significance of Congress in India's fight for independence and resistance against foreign rule?,"Congress surrender to superior might or submit to foreign authority. It remained the symbol of India's passionate desire for independence and her will to resist alien domination. It was because of this that vast numbers of the Indian people sympathized with it and looked to it for leadership, even though many of them were so weak and feeble, or so circumstanced, as to be unable to do anything themselves. The Congress was a party in some ways; it has also been a joint platform for several parties; but essentially it was something much more, for it represented the innermost desire of vast numbers of our people. The number of members on its rolls, large as this was, was only a feeble reflection of its widespread representative character for membership depended not on the people's desire to join but on our capacity to reach remote villages. Often (as now) we have been an illegal organization, not existing at all in the eyes of the law, and our books and papers have been taken away by the police."
What was the attitude towards non-co-operation with the British government in India during times of civil disobedience struggle?,"Even when there was no civil disobedience struggle going on, the general attitude of non-co-operation with the British apparatus of government in India continued, though it lost its aggressive character. That did not mean, of course, non-co-operation with Englishmen as such. When Congress governments were installed in many provinces, there was inevitably much cooperation in official and governmental work. Even then, however, that background did not change much and instructions were issued regulating the conduct of Congressmen, apart from official duties."
"What led to the passing of the Government of India Act in 1935, and why was cooperation between a free India and England seen as essential?","Between Indian nationalism and an alien imperialism there could be no final peace, though temporary compromises and adjustments were sometimes inevitable. Only a free India could cooperate with England on equal terms. Congress governments in the provinces. The British Parliament, after some years of commissions, committees, and debates, passed a Government of India Act in 1935."
What were some of the key actions taken by the British government and other influential figures in India that exacerbated separatist sentiments and reinforced British control in various domains?,"The government and the princes, landlords, and other reactionary elements in India added to the separate electorates, thus increasing the separatist tendencies. It consolidated the predominant position of British trade, industry, banking, and shipping and laid down statutory prohibitions against any interference with this position, any 'discrimination,' as it was called. It retained in British hands complete control over Indian finance, military, and foreign affairs. It made the viceroy even more powerful than he had been."
What were the challenges faced by popular government within provincial autonomy?,"In the limited sphere of provincial autonomy the transfer of authority was, or appeared to be, much greater. Nevertheless, the position of a popular government was extraordinary. There were all the checks of viceregal powers and an irresponsible central authority, and even the governor of the province, like the viceroy, could intervene, veto, legislate on his own sole authority, and do almost anything he wanted even in direct opposition to the popular ministers and the provincial legislature. A great part of the revenues were mortgaged to various vested interests and could not be used. The superior services and the police were protected and could hardly be touched by the ministers. They were wholly authoritarian in outlook and looked, as of old, to the governor for guidance and not to the ministers. And yet these were the very people through whom the popular government had to function. The whole complicated structure of government remained as it was, from the governor down to the petty official and policeman; only somewhere in the middle a few ministers, responsible to a popularly elected legislature, were thrust in to carry on as best they could. If the governor (who represented British authority) and the services under him agreed and fully cooperated with the ministers, the apparatus of government might function smoothly."
What were some of the challenges faced by the popular government in dealing with the old authoritarian police-state ways?,"Otherwise—and this was much more likely, as the policy and methods of a popular government differed entirely from the old authoritarian police-state ways—there was bound to be continuous friction. Even when the governor or the services were not openly at variance with or disloyal to the policy of the popular government, they could obstruct, delay, pervert, and undo what that government did or wished to do. In law there was nothing to prevent the governor and the viceroy from acting as they liked, even in active opposition to the ministry and the legislature; the removal of these statutory prohibitions is still fiercely resisted by representatives of British industry and trade in India. In April 1945, a resolution demanding this removal was passed in the central assembly in spite of British opposition. Indian nationalism, and indeed all Indian parties and groups, are strongly in favour of this removal, and of course, Indian industrialists are most anxious about it. And yet, it is significant to note that Indian businessmen in Ceylon are demanding exactly the same kind of protection in Ceylon which they rightly resent having been given to British business interests in India. Self-interest not only blinds one to justice and fair play but also to the simplest applications of logic and reason."
What were some of the reasons why the ministers were hesitant to challenge the king's authority in the legislature?,"The only real check was fear of conflict. The ministers might resign, no others could command a majority in the legislature, and popular upheavals might follow. It was the old constitutional conflict between an autocratic king and parliament which had so often taken place elsewhere, leading to revolutions and the suppression of the king. Here the king was in addition a foreign authority, supported by foreign military and economic power and the special interests and lap-dog breed it had created in the country."
What were some of the factors that contributed to the rise of pro-Japanese movements in Burma during World War II?,"About this time, Burma was separated from India. In Burma, there had been a conflict between British and Indian, and, to some extent, Chinese, economic and commercial interests. It had therefore been British policy to encourage anti-Indian and anti-Chinese sentiments among the Burmese people. This policy was helpful for sometimes, but when it was joined onto a denial of freedom to the Burmese, it resulted in creating the powerful pro-Japanese movements in Burma which came to the surface when the Japanese attacked in 1942."
Why was the act of 1935 opposed by all sections of Indian opinion and what were the key points of contention within the Congress regarding provincial autonomy and federal structure?,"The act of 1935 was bitterly opposed by all sections of Indian opinion. While the part dealing with provincial autonomy was severely criticized for its many reservations and the powers given to the governors and the viceroy, the federal part was even more resented. Federation as such was not opposed and it was generally recognized that a federal structure was desirable for India, but the proposed federation petrified British rule and vested interests in India. Only the provincial autonomy part of it was applied and the Congress decided to contest elections. But the question whether responsibility for provincial governments should be undertaken, within the terms of the act, led to fierce debate within the Congress. The success of the Congress in the elections was overwhelming in most of the provinces, but still there was hesitation in accepting ministerial responsibility unless it was made clear that there would be no interference by the governor or viceroy."
Which provinces had Congress governments established in July 1937?,"After some months vague assurances were given to this effect and Congress governments were established in July, 1937. Ultimately there were such governments in eight of the eleven provinces, the three remaining ones being Sindh, Bengal, and Punjab. Sindh was a small, newly-created, and rather unstable province. In Bengal the Congress had the largest single party in the legislature, but as it was not in a majority, it did not participate in the government."
What was the approach of the Congress party towards the Act of 1935 in Bengal politics?,In Bengal politics can make or unmake ministries. The Congress could not possibly accept the Act of 1935 as even a temporary solution of the Indian problem. It was pledged to independence and to combat the Act. Yet a majority had decided to work on provincial autonomy. It had thus a dual policy: to carry on the struggle for independence and at the same time to carry through the legislature's constructive measures of reform. The agrarian question especially demanded immediate attention.
What was considered when discussing the possibility of congressmen joining other groups to form coalition governments?,"The question of congressmen joining other groups to form coalition governments was considered, although there was no necessity for this as the Congress had clear majorities. Still, it was desirable to associate as many people as possible in the work of government. There was nothing inherently wrong about coalitions at all times, and indeed some form of coalition was agreed to in the Frontier Province and in Assam. As a matter of fact, the Congress itself was a kind of coalition or joint front of various groups tied together by the dominating urge for India's independence. In spite of this variety within its fold, it had developed a discipline, a social outlook, and a capacity to offer battle in its own peaceful way. A wider coalition meant joining up with people whose entire political and social outlook was different, and who were chiefly interested in office and ministerships."
What were some of the challenges faced by the representatives of Indian interests in dealing with British authorities and vested interests during the period discussed?,"Conflict was inherent in the situation, conflict with the representatives of British interests—the Viceroy, the Governor, the superior services; conflict also with vested interests in land and industry over agrarian questions and workers' conditions. The non-Congress elements were usually politically and socially conservative; some of them were pure careerists. If such elements entered government, they might tone down our whole social programme, or at any rate obstruct and delay it. There might even be intrigues with the Governor over the heads of the other ministers. A joint front against British authority was essential. Any breach in this would be harmful to our cause. There would have been no binding cement, no common loyalty, no united objective, and individual ministers would have looked and pulled in different directions."
"What are the characteristics of the politicians and careerists present in our public life, particularly in the Congress since 1920?","Our public life naturally included many who could be called politicians and nothing more, careerists, both in the good and bad sense of the word. There were able, earnest, and patriotic men and women, as well as careerists, both in the Congress and in other organizations. But the Congress had been, ever since 1920, something much more than a constitutional political party, and the breath of revolutionary action, actual or potential, surrounded it and often put it outside the pale of the law. The fact that this action was not connected with violence, secret intrigue, and conspiracy, the usual accompaniments of revolutionary activity, did not make it any the less revolutionary."
